japanese,english
の,of
に,On
は,teeth
た,rice field
を,of
だ,is
が,But
て,hand
と,When
ます,increase
も,and
で,and
ている,ing
です,is
れる,Be
という,As
事,case
えー,Um
言う,To tell
のです,That is
あの,that
する,do
まー,Ma
の,of
ある,be
ね,hey
ない,do not have
なる,Become
か,mosquito
その,That
けれど,But
から,from
よう,So
思う,think
で,and
か,mosquito
が,But
物,object
そう,yes
何,what
と,When
私,Me
てしまう,Be
それ,that
とか,And
この,this
無い,No
行く,go
のだ,Tremendous
せる,Make
これ,this
もう,Already
である,Be
時,Time
な,Named
ず,figure
ので,So
人,Man
よ,world
こう,like this
から,from
ば,palce
や,or
来る,come
その,That
まで,to
見る,look
たり,Otherwise
今,now
良い,good
所,Place
自分,myself
ん,Hmm
あー,ah
やはり,also
たい,sea ​​bream
やる,do
中,During ~
いる,Be
できる,can
など,Such
として,As
後,rear
また,Also
ちょっと,A little
てくる,Come
だけ,only
くらい,About
ではない,is not
えーと,Um
方,direction
ていく,To go
訳,reason
へ,What
どう,copper
し,death
本当,For real
持つ,Hold
出る,Come out
ため,For
すごい,very
考える,think
そこ,There
う,cormorant
分かる,Understand
ておる,Be
について,about
それで,So
入る,come in
作る,make
てみる,Try
聞く,listen
そして,and
てくれる,Give me
場合,case
話,Talk
ながら,While
そんな,Such
使う,use
日本,Japan
風,Wind
おー,Oh
前,Previous
多い,many
のではない,Not
よく,Often
一つ,One
子供,child
非常,Informal
気,air
ても,Perhaps
取る,take
うち,home
知る,know
より,Than
それから,after that
うー,Hmm
感じ,Feeling
みたい,want to see
でも,but
ここ,here
とても,very
いろいろ,various
一,one
そう,yes
行なう,Perform
一番,number one
二,two
同じ,same
まず,first
必要,requirement
仕事,work
余り,remainder
によって,By
かもしれない,May
僕,I
皆,all
彼,he
方,direction
食べる,eat
ほど,Degree
しかし,However
書く,describe
入れる,put in
次,Next
結構,very well
問題,problem
例えば,for example
目,eye
頃,Time
上,Up
てくださる,Be
他,other
いつ,when
家,House
付く,Be attached
日,Day
出す,put out
一人,One person
人間,human
どこ,Where
ございます,Yes
時間,time
ただ,However
だから,that's why
違う,Wrong
受ける,receive
言葉,words
なんか,Something
少し,a bit
まま,Be
買う,buy
まだ,yet
手,hand
話す,talk
好き,Like
返る,Return
てもらう,Get
掛ける,Put on
終わる,End
意味,meaning
のである,So
いろんな,various
付ける,wear
形,shape
かなり,rather
三,three
最初,first time
間,while
感じる,feel
しか,deer
かかる,Be
大きな,big
住む,live
最近,Recently
特に,especially
誰,Who
こんな,Such
友達,friend
大きい,big
すぐ,soon
一緒,together
生活,life
国,Country
あげる,give
あなた,you
現在,Current
高い,high
なんて,What
悪い,bad
気持ち,feeling
乗る,get on
において,In
見える,appear
変わる,change
べし,Beyond
あるいは,or
大変,hard
による,according to
会社,Company
ほとんど,largely
実際,actual
先生,teacher
彼女,she
二人,Two persons
心,heart
あの,that
らしい,Apparent
ある,be
金,Money
顔,face
ていただく,Be
ずっと,all the time
さらに,moreover
町,town
及び,as well as
たくさん,a lot
いー,Good
大体,generally speaking
もちろん,of course
読む,read
人たち,People
今日,today
昔,long ago
うん,yes
すべて,all
教える,teach
子,Child
ておく,Be
に対して,To
ばかり,Only
なぜ,why
水,water
当時,at that time
場所,place
置く,put
楽しい,fun
にとって,for
声,voice
普通,usually
残る,Remain
最後,last
車,car
初めて,first time
今度,next time
体,body
私達,we
強い,strong
全く,not at all
呼ぶ,Call
結局,in the end
歩く,walk
男,Man
女性,Woman
学校,school
生きる,live
なかなか,Quite
先,Precedence
もっと,more
ことができる,be able to
テーマ,theme
世界,world
状態,situation
と,When
もし,if
全然,at all
飲む,to drink
新しい,new
の,of
早い,quick
会う,meet
アメリカ,America
あれ,that
小さい,small
相手,partner
母,mother
以上,that's all
関係,relationship
四,four
たぶん,perhaps
店,shop
どんな,what kind
頭,Head
電話,phone
長い,long
ことになる,Be
本,Book
どの,Which
こちら,Here
いわゆる,So-called
わ,circle
夜,Night
別,another
者,person
タイトル,title
親,parent
名前,name
全部,All
皆さん,everyone
により,By
きれい,beautiful
立つ,stand
毎日,every day
ために,for
おいしい,Delicious
または,or
家族,family
に対する,Against
部分,part
一度,one time
結果,result
じゃ,well
状況,situation
時代,Era
少ない,Few
他,other
うまい,good
覚える,Learn
東京,Tokyo
てある,Be
続く,Continue
における,In
俺,me
生まれる,to be born
父,father
確か,Certainly
それぞれ,Respectively
方法,Method
はず,Should
説明,explanation
なければいけない,I have to do it
部屋,room
ちょうど,just
当然,Of course
大学,University
ですから,So
実,fruit
朝,Morning
どんどん,Steadily
得る,obtain
とにかく,Anyways
選ぶ,Choose
面白い,interesting
戻る,return
勉強,study
やめる,Stop
下,under
始める,start
まわり,Surroundings
犬,dog
必ず,surely
残す,leave
大事,Important
嬉しい,happy
力,Power
遊ぶ,play
若い,young
理由,cause
女,woman
簡単,Easy
始まる,Start
死ぬ,die
今回,this time
に関する,Related to
人生,life
通り,street
内容,Content
テレビ,tv set
経験,experience
木,wood
点,point
自然,Nature
音,sound
海,Sea
一応,At once
与える,give
利用,use
働く,work
一杯,a cup of
近く,shortly
つまり,in short
共,Both
存在,Existence
絶対,absolutely
日本人,Japanese people
大切,important
足,leg
切る,Cut off
走る,Run
待つ,wait
写真,Photo
子供たち,The kids
だんだん,gradually
二つ,two
楽しむ,enjoy
五,Five
多く,Many
寝る,sleepy
英語,English
決める,decide
忘れる,forget
口,mouth
送る,send
姿,Appearance
なくなる,Be gone
時期,season
逆,reverse
頑張る,make effort
示す,show
こそ,For
人々,people
道,road
有名,Famous
てもいい,OK
思い,thought
しかも,In addition
難しい,difficult
彼ら,they
山,Mountain
程度,degree
でない,Not
願う,Wish
すでに,already
昭和,Showa
向かう,Head to
連れる,Be taken to
変える,change
影響,Impact
病院,hospital
年,Year
花,flower
求める,Ask
情報,information
もらう,get
友人,friend
だめ,No good
経つ,Pass
先程,earlier
一回,once
十分,sufficient
小さな,small
開く,open
無人島,Uninhabited island
続ける,continue
重要,important
といった,such as
当たる,Hit
近い,near
結婚,marriage
認める,Admit
これら,these
歴史,history
増える,increase
音楽,music
なければならない,There must be
外,Outside
進む,move on
起きる,Get up
嫌,Disgusting
駅,station
いや,no
はい,yes
映画,movie
身,Body
客,Customer
質問,question
含む,include
地域,area
我が,my
どうしても,no matter what
のに,But
娘,Daughter
見せる,show
一日,one day
今年,this year
平成,Heisei
図,figure
紹介,Introduction
合わせる,match
安い,cheap
夢,dreams
つらい,tough
規定,Provisions
どちら,Which
中心,center
起こる,Occur
我々,we
母さん,mother
立てる,Set up
最も,most
色,colour
探す,seek
ちゃんと,Properly
興味,interest
三つ,three
てほしい,I want you to
いただく,Have
売る,sell
変化,change
印象,impression
作品,the work
でございます,Yes
参加,Participation
夏,summer
よる,evening
理解,Understanding
事件,Case
中国,China
ずつ,One by one
母親,mother
取り敢えず,For the moment
ところが,However
目的,Purpose
様々,various
答える,answer
過ごす,spend
上がる,Go up
一方,on the other hand
病気,illness
心配,anxiety
それでも,nevertheless
イメージ,image
笑い,Laughing
午後,afternoon
後,rear
動く,Move
主人,master
加える,Add
困る,in trouble
取れる,Be removed
環境,environment
対応,Correspondence
比べる,compare
高校,high school
食事,meal
引く,Pull
辺,Side
要するに,in short
離れる,Leave
火,fire
実施,implementation
今後,from now on
社会,society
練習,training
使用,use
越える,Cross over
図る,Plan
企業,Company
奴,guy
はっきり,clearly
怖い,scared
例,example
絵,picture
思い出す,remember
に関して,About
酒,Liquor
原因,Cause
お前,you
守る,protect
小学校,primary school
回る,spin
広い,wide
猫,Cat
向こう,Across
同時,simultaneous
調べる,investigate
のぼる,Be upright
六,Six
のみ,only
向ける,Turn
落ちる,drop down
だが,But
決まる,Be determined
起こす,Wake up
場,Place
いずれ,Either
ホテル,Hotel
対象,subject
打つ,strike
以前,Before
夫,husband
確認,confirmation
数,number
意見,opinion
割と,Relatively
大丈夫,are you OK
通う,go
申し上げる,Say
可能性,possibility
述べる,Describe
是非,I'd love to
さえ,even
三人,Three people
料理,cooking
一部,part
きっと,surely
どうして,why
歌う,sing
なお,note that
幾つ,how many
ぞ,For
ほしい,want
新聞,newspaper
気付く,notice
歌,song
開ける,Open
互い,Each other
着る,Wear
違い,difference
しっかり,Tightly
過ぎる,Pass
記憶,Memory
思い出,memory
しばらく,for a while
基本的,Basic
四月,April
君,you
笑う,smile
いくら,ikura
魚,fish
旅行,trip
父親,father
どれ,which one
見付ける,Be found
関わる,Be involved
無理,unreasonableness
健康,health
味,taste
深い,deep
伝える,inform
自由,freedom
集まる,get together
戦争,war
流れる,Fling
男性,male
電車,Electric train
進める,Proceed
含める,include
致す,Dash
着く,arrive
厳しい,Strict
女の子,girl
パソコン,computer
おる,is
活動,Activity
不安,anxiety
三十分,thirty minutes
限り,as long as
いらっしゃる,Come
可能,Possible
可愛い,pretty
際,edge
途中,in the middle
研究,the study
様子,state
ものすごい,Tremendous
合う,Fit
済む,Be completed
通る,Pass
大人,adult
期待,Expectation
事実,fact
せい,because of
一年,one year
一体,Integral
島,island
描く,draw
驚く,Be surprised
動物,animal
何度,Many times
元々,originally
素晴らしい,Amazing
座る,sit
定める,stipulate
機会,chance
楽しみ,fun
考え,idea
信じる,believe
たまたま,by chance
古い,old
さ,difference
面,surface
三月,March
ただし,however
常,Always
より,Than
つもり,Intention
考え方,way to think
ニュース,news
意識,Consciousness
元,Origin
行動,Behavior
低い,low
びっくり,Surprisingly
作り方,Way of making
元気,well
現われる,Appear
聞こえる,hear
曲,song
過去,past
やっと,at last
思える,Seem to be
明らか,clear
つつ,Creepy
土地,land
振り返る,look back
初め,beginning
評価,evaluation
息子,son
限る,Limit
似る,Resemble
悲しい,sad
雨,rain
自分達,ourselves
詳しい,be familiar with
二十一世紀,21st century
ひどい,terrible
昨日,yesterday
下りる,Go down
メール,Email
まあ,oh dear
喜ぶ,be happy
便利,Convenient
迎える,Welcome
耳,ear
表現,Expression
動き,Movement
注意,Note
では,Then
てあげる,I'll give you
雰囲気,atmosphere
立場,position
基づく,Be based
間,while
ことがある,Sometimes
痛い,pain
父さん,Father
辺り,Around
てやる,Do
将来,future
乗せる,Put on
自転車,bicycle
白い,white
川,river
用いる,Use
隣り,Next
普段,normally
法律,law
妻,wife
冬,winter
具体的,concrete
もと,source
発生,occurrence
繰り返す,repeat
泣く,cry
七,Seven
手紙,letter
出かける,go out
努力,effort
増加,gain
判断,Judgment
両親,parents
残念,disappointing
おそらく,probably
家庭,home
軽い,light
払う,pay
つながる,Be connected
船,ship
九月,September
きっかけ,Trigger
授業,class
亡くなる,Die
止める,stop
不思議,wonder
茶,tea
直接,Directly
バス,bus
効果,effect
現実,reality
触れる,touch
飼う,keep
しゃべる,Speak
国民,Citizen
さす,Shift
やり方,manner
ずいぶん,Very much
日本語,Japanese
十月,October
気分,Feeling
開発,development
殺す,kill
特徴,feature
神,God
暮らす,live
飛ぶ,jump
終わり,end
雑誌,magazine
怒る,Get angry
整備,Maintenance
んと,And
建物,building
発見,discover
相談,consultation
連絡,contact
止まる,Stop
一生懸命,try as hard as one can
用意,preparation
変,strange
十二月,December
学ぶ,learn
突然,suddenly
首,neck
設定,setting
ゆっくり,slowly
目指す,aim
したがって,therefore
一月,January
成す,Make
集める,Gather
失う,lose
光,light
並ぶ,line up
八月,August
とく,virtue
七月,July
美しい,beautiful
五月,May
優しい,kind
タバコ,tobacco
後ろ,back
六月,June
異なる,different
十一月,November
新た,new
飛行機,airplane
婆さん,Grandmother
至る,Get
午前,morning
育てる,Raise
種類,type
商品,Product
生じる,Occur
イギリス,England
大好き,really like
語る,talk
胸,chest
頼む,ask
体験,Experience
材料,material
広がる,spread
きちんと,Neatly
そちら,there
勝つ,win
運動,motion
捨てる,dispose of
幸せ,happy
通す,Pass through
横,beside
伴う,Accompany
命,life
流れ,flow
育つ,growing up
ちなみに,as a side note
予定,schedule
決して,never
馬,Horse
完全,Perfect
学生,student
風,Wind
性格,Personality
死,death
位置,position
発展,development
おかしい,strange
近所,neighborhood
一本,One
張る,Stretch
ご飯,cooked rice
危険,dangerous
かしら,Kakarai
すなわち,"That is,"
海外,overseas
教育,education
想像,Imagination
実は,actually
許す,forgive
表,table
文化,culture
八,Eight
食べ物,food
借りる,Borrow
だけれど,But
準備,Preparation
二月,February
や,or
月,Moon
世の中,world
インターネット,the internet
春,spring
旅,Journey
二年,Two years
寒い,Cold
年,Year
同様,Same
一般,Ordinary
第一,first
三年,Three years
申す,Say
押す,push
責任,responsibility
選択,Selection
負ける,lose
技術,Technology
一般的,general
そば,Soba
減る,decrease
記事,article
本人,Person
焼く,bake
たまに,Sometimes
慣れる,Get used to
もしくは,or
出会う,meet
推進,Promoting
自ら,oneself
作業,work
私自身,I myself
たび,Time
付き合う,keep company
半分,half
条件,conditions
医者,doctor
振る,shake
関心,interest
表示,display
秋,autumn
明るい,bright
趣味,hobby
生徒,student
相当,Equivalent
従う,follow
検討,examination
占める,Occupy
まさに,Exactly
選手,player
以下,Less than
大きさ,size
調査,Investigation
分,Part
実家,parents' home
発表,publication
むしろ,Rather
作成,create
名,Name
確保,Securing
まるで,as if
運ぶ,bring
こともある,Sometimes
てはいけない,must not
正しい,correct
ほぼ,Almost
表わす,Represent
毎年,Every year
文字,letter
空,Sky
に対し,To
明日,tomorrow
役割,role
地球,Earth
公園,park
個人,Individual
やら,Noise
